target,regressor,total_pnl,mse,score
3,21,-111.88430577502693,0.0001374652471064576,-1.5142805669875221
3,22,-227.19736916968748,0.00013847036411371893,-1.9010029215570075
3,23,-594.7248489418034,0.00013846410881360863,-3.1247545389228657
3,24,-52.087216300985745,0.00014008636402745538,-1.313222886292329
3,25,-276.227440065323,0.00014046695971556782,-2.065035189862561
3,26,-486.3373332636654,0.0001410764598248675,-2.7652627286073583
3,27,-548.4976001701912,0.00014188307804962323,-2.971576361350187
3,28,-175.52442026530457,0.00013970013155963838,-1.7278713217254715
3,29,-391.23317587952033,0.00013702561451318912,-2.448856470271239
3,30,-282.31135879646865,0.0001370982704159424,-2.085372604178143
3,31,-480.0053446372266,0.00014053240203069055,-2.7442246808866972
3,32,-397.47056591325463,0.00013947096786699097,-2.469635599762159
3,33,-292.76872968358055,0.00013785314315556746,-2.1203210877958822
3,34,-142.9883966509743,0.00013660095270361702,-1.6187230295256172
3,35,-134.1688272601521,0.00013765273927649065,-1.589118071302297
3,36,-230.4699500401643,0.0001408316546052357,-1.91195889734407
3,37,-275.1815664632013,0.00013903448126380462,-2.0615386585347935
3,38,-254.46938814622027,0.00013801670262401743,-1.9922720426290077
3,39,-147.99136821702467,0.00013750831362689951,-1.6355132610454144
3,40,-102.08841351595608,0.00013719046257864814,-1.4813677494094653
3,41,-325.0298499844629,0.00013720296317942796,-2.228069262788808
3,42,-384.6849889044066,0.00014016881848607195,-2.427037786621579
3,43,-50.16467586117888,0.00013977938624172573,-1.306752795734464
3,44,-68.99122760715396,0.0001387277299241729,-1.3700956577834098
3,45,-195.50927082683228,0.0001385629649899536,-1.79486241742935
3,46,-118.655102211825,0.00013628570121682884,-1.5370239424942458
3,47,-258.29599864430986,0.0001377612591015341,-2.0050723685584684
3,48,-470.88740679364275,0.0001377255619439069,-2.713923245797126
3,49,-181.04173660505103,0.00013913763918722258,-1.7463698309874562
4,0,-144.7966009402387,4.4030285568567766e-05,-1.1323689229041347
4,1,-80.41412105469936,4.424660931867881e-05,-0.9159120523210439
4,2,-100.21792632269737,4.430080537711684e-05,-0.9825703053174805
4,3,-31.58676402039326,4.4005532013910285e-05,-0.7512699051335816
4,5,-173.88466447206116,4.47673496731572e-05,-1.2299274786423129
4,6,24.766195201460313,4.2759120189545655e-05,-0.5607326616193627
4,7,-75.8574499692434,4.4259591658175284e-05,-0.9005649258558652
4,8,-35.770211210686256,4.439625990430849e-05,-0.7653925044629558
4,9,-99.38497131068864,4.472837367203357e-05,-0.9797680137360689
4,10,-74.25201943651149,4.516034183880524e-05,-0.8951568814171444
4,11,-136.39124907387563,4.406804068615692e-05,-1.1041507366674956
4,12,61.114221772528694,4.393376893272664e-05,-0.4375380460616248
4,13,-109.30896403526036,4.402834647714541e-05,-1.013147212238911
4,14,-164.83702521915944,4.4254455439622885e-05,-1.1995983632426221
4,15,-125.04463378433259,4.416212598487506e-05,-1.0660387114351317
4,16,64.80239309864047,4.3174258852422905e-05,-0.42502463191665163
4,17,43.92086790163606,4.394753460116685e-05,-0.4958407155175974
4,18,4.382104413335042,4.3924718196101896e-05,-0.629718556821267
4,19,103.94463786883931,4.405835297906601e-05,-0.2920717722255895
4,20,-238.166304111574,4.512656510562568e-05,-1.4449987947759138
4,21,-90.33478203165538,4.4217528674399926e-05,-0.949312869344767
4,22,-165.61944765646012,4.447769274198129e-05,-1.2022217301046871
4,23,-122.34287645807952,4.39897732954569e-05,-1.0569605012700718
4,24,60.67402840750265,4.339080639956519e-05,-0.4390313951964408
4,25,21.081436757720205,4.41518036678154e-05,-0.5732084118664696
4,26,-73.05830213577407,4.4264157275898226e-05,-0.8911354402320601
4,27,-94.36214163251876,4.4080653427215e-05,-0.9628672578722579
4,28,41.84155147794303,4.423982813225358e-05,-0.5028881320702248
4,29,-54.47595593636743,4.393124042610244e-05,-0.8285024184965365
4,30,-106.81212848483898,4.384510863429667e-05,-1.0047507602141996
4,31,-32.28974129838857,4.39211812107117e-05,-0.7536432499587535
4,32,16.558805151907492,4.354159059625321e-05,-0.5885177383495381
4,33,-135.63425742670614,4.4400405743153724e-05,-1.1016087837302744
4,34,-44.52059545953159,4.46745157837953e-05,-0.794922392231859
4,35,-134.89332435145707,4.439730700425713e-05,-1.0991206582783069
4,36,-19.46539377825509,4.336010283933609e-05,-0.7103329269847969
4,37,23.121460644438628,4.4065891476505225e-05,-0.5663016528159716
4,38,-109.61890541124146,4.4910502211363894e-05,-1.0141894188808152
4,39,-125.06449847181928,4.416658525553717e-05,-1.066105454321829
4,40,-82.1250681058577,4.491531035775377e-05,-0.9216736831771581
4,41,-88.5664414632561,4.446869540712561e-05,-0.9433604893262422
4,42,-18.380079687112648,4.473649886680302e-05,-0.7066662863792976
4,43,-249.97474598283867,4.468432230518721e-05,-1.4844286510380515
4,44,-153.27373232610933,4.312970767004616e-05,-1.1608156205938267
4,45,-101.25189028972487,4.414683777044662e-05,-0.986048678469402
4,46,-123.35911913110822,4.474113222334362e-05,-1.0603753408015486
4,47,-12.632459091343181,4.4671763005995984e-05,-0.6872449982540628
4,48,-30.788043467871674,4.4048529535601656e-05,-0.7485732132263844
4,49,-13.868122499053458,4.4366431403818906e-05,-0.6914208108221035
5,0,-59.11961005613628,3.3304461446185595e-05,-0.757768352777308
5,1,-173.0381827911307,3.3646156732740375e-05,-1.140799902754304
5,2,-286.474533738907,3.401647616994352e-05,-1.519614124847585
5,3,-144.46611945554153,3.420804672214833e-05,-1.0449765094067625
5,4,-143.84800858067157,3.4383082991061566e-05,-1.042901710102985
5,6,-103.31194455272158,3.4224618040205876e-05,-0.9066674782324656
5,7,-199.5799073115877,3.3614671185448095e-05,-1.229666981382135
5,8,-238.1278891966091,3.4337180940448185e-05,-1.358480834360683
5,9,-100.94715356319007,3.434937262796742e-05,-0.898709648870633
5,10,-121.72880752976138,3.405834915770092e-05,-0.968604116552573
5,11,-108.03576112894102,3.4016793525909344e-05,-0.9225603664332709
5,12,-167.56475093302623,3.342404293212675e-05,-1.1224561205343626
5,13,-100.12323980326865,3.3962065198657235e-05,-0.8959368074918728
5,14,-152.36745235227124,3.379075821310362e-05,-1.0714919756452925
5,15,-178.6702823451171,3.423389214493176e-05,-1.1596691589565191
5,16,-210.82455282520516,3.406172044623949e-05,-1.26727358169452
5,17,-32.35887537911891,3.405287145352044e-05,-0.6674106726737831
5,18,-155.38077368573676,3.447586531548007e-05,-1.081600839816088
5,19,-158.1169278072357,3.369065095312677e-05,-1.0907783030651201
5,20,-114.55665585051644,3.359153805081391e-05,-0.9444919983879099
5,21,-159.37433287024507,3.368853683768142e-05,-1.0949953198133802
5,22,-51.96794273267162,3.406620747690678e-05,-0.733634905417129
5,23,-137.70574997138854,3.373962709734922e-05,-1.0222799508860931
5,24,-186.47672963342066,3.3685797054889646e-05,-1.1858125958456482
5,25,-192.586297491523,3.3829392336118804e-05,-1.2062647091395373
5,26,-187.91226384067596,3.408496011737621e-05,-1.1906188002539997
5,27,-214.65239393101982,3.3373939675578946e-05,-1.2800696063116546
5,28,-57.5092658849553,3.376679568591843e-05,-0.752335114551817
5,29,-173.02027259936366,3.3664850144535615e-05,-1.140739887959326
